START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
7/27/2018,6:05 PM,7:05 PM,Royals at Yankees,Yankee Stadium - Bronx,Local TV: FSKC,7/27/2018,7/27/2018,9:05 PM,10:05 PM,FALSE,TRUE,7/27/2018,5:05 PM,6:05 PM,FREE,BUSY
7/28/2018,12:05 PM,1:05 PM,Royals at Yankees,Yankee Stadium - Bronx,Local TV: FSKC,7/28/2018,7/28/2018,3:05 PM,4:05 PM,FALSE,TRUE,7/28/2018,11:05 AM,12:05 PM,FREE,BUSY
7/29/2018,12:05 PM,1:05 PM,Royals at Yankees,Yankee Stadium - Bronx,Local TV: FSKC,7/29/2018,7/29/2018,3:05 PM,4:05 PM,FALSE,TRUE,7/29/2018,11:05 AM,12:05 PM,FREE,BUSY
7/31/2018,7:10 PM,8:10 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,Local TV: FSKC,7/31/2018,7/31/2018,10:10 PM,11:10 PM,FALSE,TRUE,7/31/2018,6:10 PM,7:10 PM,FREE,BUSY
8/1/2018,7:10 PM,8:10 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,Local TV: FSKC,8/1/2018,8/1/2018,10:10 PM,11:10 PM,FALSE,TRUE,8/1/2018,6:10 PM,7:10 PM,FREE,BUSY
8/2/2018,1:10 PM,2:10 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,Local TV: FSKC,8/2/2018,8/2/2018,4:10 PM,5:10 PM,FALSE,TRUE,8/2/2018,12:10 PM,1:10 PM,FREE,BUSY
8/3/2018,7:10 PM,8:10 PM,Royals at Twins,Target Field - Minneapolis,Local TV: FSKC,8/3/2018,8/3/2018,10:10 PM,11:10 PM,FALSE,TRUE,8/3/2018,6:10 PM,7:10 PM,FREE,BUSY
8/4/2018,6:10 PM,7:10 PM,Royals at Twins,Target Field - Minneapolis,Local TV: FSKC,8/4/2018,8/4/2018,9:10 PM,10:10 PM,FALSE,TRUE,8/4/2018,5:10 PM,6:10 PM,FREE,BUSY
8/5/2018,1:10 PM,2:10 PM,Royals at Twins,Target Field - Minneapolis,Local TV: FSKC,8/5/2018,8/5/2018,4:10 PM,5:10 PM,FALSE,TRUE,8/5/2018,12:10 PM,1:10 PM,FREE,BUSY
8/6/2018,7:15 PM,8:15 PM,Cubs at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,8/6/2018,8/6/2018,10:15 PM,11:15 PM,FALSE,TRUE,8/6/2018,6:15 PM,7:15 PM,FREE,BUSY
8/7/2018,7:15 PM,8:15 PM,Cubs at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,8/7/2018,8/7/2018,10:15 PM,11:15 PM,FALSE,TRUE,8/7/2018,6:15 PM,7:15 PM,FREE,BUSY
